Product_ID,Sale_Date,Sales_Rep,REgion,sales_Amount,Quantity_Sold,Product_Category,Unit_Cost,Unit_Price,Customer_Type,Discount,Payment_Method,Sales_Channel,Region_and_Sales_Rep
1059,31-08-2023,Alice,North,"? 1,203.97",35,Food,3333.64,3764.52,Returning,0.02,Credit Card,Online,North-Alice
1042,31-01-2023,Alice,North,"? 5,207.03",11,Food,635.2,814.14,Returning,0.02,Cash,Online,North-Alice
1092,09-02-2023,David,West,"? 2,749.17",34,Furniture,2037.41,2238.65,New,0.3,Credit Card,Online,West-David
1060,17-08-2023,Bob,East,"? 8,371.25",16,Clothing,3975.99,4422.59,New,0.24,Cash,Online,East-Bob
1080,05-02-2023,Charlie,South,? 245.46,9,Electronics,1141.52,1550.19,New,0.28,Credit Card,Retail,South-Charlie
1015,11-08-2023,Eve,East,"? 3,853.03",32,Furniture,970.51,1330.84,Returning,0.06,Cash,Retail,East-Eve
1062,06-01-2023,Eve,East,"? 3,439.72",15,Clothing,4756.55,4888.46,New,0.29,Credit Card,Online,East-Eve
1062,18-11-2023,Alice,East,? 291.34,12,Furniture,1088.99,1545,Returning,0.04,Bank Transfer,Retail,East-Alice
1047,08-08-2023,David,North,"? 1,331.25",33,Electronics,1341.55,1427.21,Returning,0.15,Credit Card,Online,North-David
1062,16-03-2023,David,West,"? 4,195.06",45,Furniture,4849.6,5166.72,Returning,0.25,Credit Card,Online,West-David
1051,04-01-2023,Eve,North,"? 4,979.36",14,Electronics,3686.81,3710.92,New,0.1,Bank Transfer,Retail,North-Eve
1055,01-12-2023,Charlie,West,"? 4,102.47",8,Furniture,3513,3838.42,Returning,0.13,Bank Transfer,Online,West-Charlie
1064,14-05-2023,Bob,South,"? 5,356.28",8,Electronics,4271.99,4417.79,Returning,0.04,Cash,Online,South-Bob
1003,28-04-2023,Charlie,South,"? 5,991.80",27,Furniture,623.32,853.66,Returning,0.04,Cash,Online,South-Charlie
1051,04-04-2023,Bob,East,? 198.25,12,Electronics,3544.48,3723.66,Returning,0.19,Cash,Online,East-Bob
1007,03-03-2023,Eve,West,"? 4,694.54",1,Food,2543.26,2637.91,Returning,0.2,Credit Card,Online,West-Eve
1021,13-07-2023,Bob,West,"? 9,638.64",43,Furniture,4154.3,4469.07,Returning,0.23,Cash,Retail,West-Bob
1073,01-12-2023,David,West,"? 5,238.42",40,Furniture,2565.3,3007.47,Returning,0.17,Credit Card,Retail,West-David
1039,22-07-2023,Alice,East,"? 6,807.67",42,Clothing,3120.19,3600.14,Returning,0.19,Credit Card,Retail,East-Alice
1018,26-01-2023,Alice,East,"? 3,187.45",11,Clothing,2414.82,2519.07,Returning,0,Cash,Online,East-Alice
1004,22-06-2023,Eve,South,"? 7,762.51",39,Electronics,2416.89,2778.4,Returning,0.05,Cash,Online,South-Eve
1089,27-10-2023,David,North,"? 7,751.92",43,Furniture,3851.45,4186.98,Returning,0.3,Credit Card,Online,North-David
1060,13-05-2023,Charlie,West,"? 5,260.83",31,Electronics,3161.4,3339.66,Returning,0.02,Bank Transfer,Online,West-Charlie
1014,22-11-2023,David,West,"? 9,762.54",17,Food,3184.65,3204.01,New,0.2,Bank Transfer,Online,West-David
1009,28-04-2023,Alice,North,"? 1,342.95",33,Clothing,2278.9,2626.9,New,0.05,Credit Card,Online,North-Alice
1090,20-11-2023,Alice,West,? 267.78,32,Electronics,2678.99,3152.28,Returning,0.22,Cash,Retail,West-Alice
1053,02-10-2023,David,East,"? 7,724.57",29,Electronics,3741.3,4061.04,Returning,0.21,Credit Card,Online,East-David
1002,31-07-2023,David,East,"? 8,090.84",21,Clothing,4138.41,4361.7,Returning,0.07,Credit Card,Retail,East-David
1084,13-08-2023,Alice,West,"? 1,290.05",21,Furniture,3497.98,3765.31,New,0.08,Cash,Online,West-Alice
1092,20-01-2023,Charlie,East,"? 2,729.27",40,Electronics,4624.16,4731.98,New,0.2,Bank Transfer,Retail,East-Charlie
1060,23-04-2023,Eve,East,? 273.77,23,Clothing,4110.6,4488.37,New,0.12,Credit Card,Online,East-Eve
1071,20-05-2023,Eve,West,"? 3,003.76",6,Furniture,2831.23,3206.98,Returning,0.06,Bank Transfer,Retail,West-Eve
1044,16-02-2023,David,South,"? 7,754.10",22,Food,3373.46,3454.76,Returning,0.22,Bank Transfer,Retail,South-David
1008,01-01-2023,Eve,North,"? 5,227.81",38,Clothing,4635.23,5075.44,Returning,0.05,Cash,Online,North-Eve
1047,31-03-2023,Alice,East,"? 3,546.15",37,Electronics,3114.88,3256.78,Returning,0.26,Credit Card,Online,East-Alice
1035,22-05-2023,Alice,South,"? 3,780.22",45,Food,4132.79,4624.1,New,0.15,Credit Card,Retail,South-Alice
1078,16-11-2023,David,East,? 113.40,8,Furniture,3459.61,3657.23,Returning,0.03,Bank Transfer,Online,East-David
1081,07-02-2023,David,East,"? 3,068.03",41,Furniture,2782.08,2879.24,New,0.21,Bank Transfer,Online,East-David
1036,20-10-2023,David,North,"? 6,499.94",49,Clothing,1247.1,1429.44,New,0.16,Cash,Online,North-David
1050,19-05-2023,Charlie,East,"? 9,744.52",35,Clothing,2158.69,2384.38,Returning,0.09,Bank Transfer,Retail,East-Charlie
1004,22-12-2023,Eve,North,"? 8,485.90",11,Clothing,4840.33,4884.29,New,0.13,Cash,Online,North-Eve
1002,29-11-2023,David,North,? 333.59,24,Furniture,3305.94,3599.27,New,0.09,Credit Card,Retail,North-David
1006,16-09-2023,Bob,North,"? 8,995.75",49,Food,2843.76,3146.6,New,0.08,Cash,Retail,North-Bob
1054,10-06-2023,Bob,South,"? 7,853.66",21,Furniture,4668.14,5040.22,New,0.05,Bank Transfer,Online,South-Bob
1004,27-06-2023,Alice,West,"? 7,825.72",2,Electronics,2953.23,2977.52,Returning,0.11,Credit Card,Retail,West-Alice
1054,10-01-2023,Eve,South,"? 4,634.16",40,Furniture,2654.11,2929.32,Returning,0.08,Cash,Online,South-Eve
1093,18-09-2023,David,West,"? 4,040.25",19,Electronics,3808.59,3844.51,New,0.21,Credit Card,Online,West-David
1063,18-05-2023,Bob,West,"? 3,098.87",39,Food,3577.69,3931.25,Returning,0.21,Cash,Retail,West-Bob
1018,21-06-2023,Eve,North,? 750.38,28,Clothing,1006.14,1043.45,New,0.15,Bank Transfer,Retail,North-Eve
1090,13-01-2023,Alice,East,"? 2,359.53",17,Clothing,2382.98,2839.73,Returning,0.23,Bank Transfer,Retail,East-Alice
1044,17-06-2023,Charlie,North,"? 2,541.38",6,Furniture,2388.95,2742.97,Returning,0.25,Credit Card,Retail,North-Charlie
1034,10-05-2023,Eve,East,"? 4,892.36",19,Clothing,1922.21,2180.83,Returning,0.17,Credit Card,Retail,East-Eve
1074,25-03-2023,Eve,West,"? 7,499.70",38,Food,2610.6,2836.94,Returning,0.19,Credit Card,Online,West-Eve
1062,17-11-2023,Charlie,North,"? 4,790.72",28,Clothing,2094.88,2168.91,Returning,0.08,Cash,Retail,North-Charlie
1100,15-11-2023,Eve,East,? 672.66,2,Furniture,1036.76,1189.35,New,0.27,Bank Transfer,Online,East-Eve
1014,11-04-2023,Alice,South,"? 9,582.12",38,Food,2091.21,2527,Returning,0.01,Credit Card,Online,South-Alice
1095,25-11-2023,Alice,East,"? 9,432.97",37,Electronics,407.77,860.95,New,0.1,Credit Card,Retail,East-Alice
1048,30-09-2023,Charlie,North,"? 7,873.38",4,Furniture,2900.14,2910.51,New,0.22,Credit Card,Retail,North-Charlie
1015,22-09-2023,David,South,"? 9,914.15",22,Electronics,4275.59,4576.72,Returning,0.02,Cash,Retail,South-David
1072,07-02-2023,Bob,East,"? 5,490.38",26,Food,3640.17,4002.63,New,0.05,Credit Card,Retail,East-Bob
1078,04-04-2023,David,East,"? 9,631.41",49,Furniture,1833.95,2147.14,Returning,0.18,Credit Card,Retail,East-David
1087,05-04-2023,Eve,East,? 848.49,43,Furniture,481,531.02,New,0.17,Cash,Online,East-Eve
1062,01-11-2023,Bob,East,"? 3,720.24",36,Food,1050.64,1167.33,New,0.22,Cash,Online,East-Bob
1040,10-03-2023,Charlie,East,"? 2,331.27",13,Clothing,2750.18,2882.85,Returning,0.24,Credit Card,Online,East-Charlie
1085,14-11-2023,Charlie,South,"? 2,038.75",32,Furniture,1074.93,1492.48,Returning,0.04,Credit Card,Retail,South-Charlie
1080,24-08-2023,Bob,West,"? 1,493.95",17,Furniture,2742.67,2979.64,Returning,0.01,Cash,Retail,West-Bob
1082,30-11-2023,Alice,South,"? 6,261.90",41,Electronics,1196.42,1444.97,Returning,0.21,Bank Transfer,Online,South-Alice
1053,17-05-2023,Bob,South,"? 7,835.09",36,Clothing,4252.17,4720.27,New,0.09,Cash,Retail,South-Bob
1024,17-03-2023,Eve,South,"? 5,825.15",46,Electronics,2016.49,2338.66,Returning,0.19,Bank Transfer,Retail,South-Eve
1026,04-02-2023,Alice,West,"? 1,554.93",19,Electronics,1265.48,1715.83,New,0.05,Credit Card,Retail,West-Alice
1089,01-01-2023,Charlie,North,"? 8,130.13",35,Clothing,4071.01,4304.7,New,0.14,Credit Card,Online,North-Charlie
1060,23-10-2023,Bob,West,"? 6,395.95",46,Clothing,1747.05,1830.27,New,0.15,Bank Transfer,Retail,West-Bob
1041,16-11-2023,David,South,"? 3,942.84",40,Food,601.86,1067.53,New,0.18,Cash,Online,South-David
1029,01-03-2023,David,East,"? 6,773.89",28,Clothing,2873.53,3108.3,New,0.15,Credit Card,Retail,East-David
1015,16-11-2023,Eve,East,"? 2,673.06",1,Furniture,2928.74,3027.74,New,0.15,Bank Transfer,Retail,East-Eve
1045,15-12-2023,David,South,"? 3,517.40",42,Clothing,3587.74,3745.91,Returning,0.1,Cash,Online,South-David
1065,24-11-2023,Bob,East,"? 9,183.11",18,Food,1239.09,1273.98,New,0.02,Bank Transfer,Retail,East-Bob
1089,24-09-2023,Bob,South,"? 2,975.99",48,Food,2246.67,2486.14,New,0.03,Cash,Retail,South-Bob
1071,27-12-2023,David,East,"? 4,752.88",40,Food,1447.72,1875.75,New,0.13,Cash,Retail,East-David
1009,17-08-2023,Bob,West,"? 8,912.40",33,Clothing,450.72,918.17,Returning,0.11,Cash,Online,West-Bob
1088,27-09-2023,Eve,North,"? 7,106.44",12,Clothing,4389.24,4856.22,Returning,0.15,Cash,Retail,North-Eve
1001,12-11-2023,Alice,North,? 715.81,8,Electronics,3657.91,3729.27,New,0.09,Bank Transfer,Retail,North-Alice
1008,13-10-2023,Eve,West,"? 1,558.30",24,Electronics,1542.24,1739.45,Returning,0.21,Bank Transfer,Retail,West-Eve
1088,18-10-2023,Eve,West,? 177.63,16,Furniture,3016.9,3040.73,New,0.26,Bank Transfer,Retail,West-Eve
1063,01-08-2023,Bob,South,"? 6,346.13",4,Electronics,1046.26,1475.29,Returning,0.09,Bank Transfer,Retail,South-Bob
1011,14-06-2023,Alice,South,"? 4,531.97",38,Furniture,4456.67,4642.46,New,0.06,Bank Transfer,Online,South-Alice
1081,05-01-2023,Bob,South,"? 1,429.32",44,Food,618.79,938.04,Returning,0.03,Cash,Online,South-Bob
1008,05-12-2023,Charlie,East,"? 9,583.55",27,Electronics,68.99,429.29,Returning,0.18,Credit Card,Retail,East-Charlie
1035,19-03-2023,Bob,South,"? 5,343.63",9,Clothing,2534.94,2755.56,Returning,0.13,Credit Card,Retail,South-Bob
1035,03-03-2023,Bob,West,"? 2,494.74",47,Electronics,2936.48,3096.64,New,0.06,Bank Transfer,Online,West-Bob
1033,12-05-2023,Bob,North,"? 5,055.98",16,Furniture,2915.88,3397.36,New,0.2,Bank Transfer,Retail,North-Bob
1005,30-03-2023,Alice,East,"? 6,828.24",12,Electronics,319.83,802.43,New,0.04,Credit Card,Retail,East-Alice
1041,25-08-2023,Bob,South,? 854.77,31,Food,1604.52,1756.34,Returning,0.17,Cash,Retail,South-Bob
1028,11-02-2023,Alice,East,"? 2,819.57",24,Clothing,2521.03,2766.05,Returning,0.16,Bank Transfer,Retail,East-Alice
1007,30-03-2023,David,East,"? 8,088.96",14,Furniture,1122.07,1608.76,New,0.22,Cash,Retail,East-David
1073,23-10-2023,Charlie,South,"? 4,650.68",45,Clothing,4369.5,4381.89,Returning,0.02,Credit Card,Retail,South-Charlie
1072,24-11-2023,Alice,East,"? 5,511.11",25,Clothing,481.19,693.4,New,0.27,Credit Card,Retail,East-Alice
1012,22-10-2023,David,North,"? 4,384.88",34,Furniture,2462.55,2521.77,New,0.21,Bank Transfer,Retail,North-David
1034,14-04-2023,Alice,West,? 534.61,3,Clothing,3472.51,3732,New,0.06,Cash,Online,West-Alice
1033,14-01-2023,Alice,West,"? 1,740.92",24,Clothing,1345.67,1367.76,New,0.06,Bank Transfer,Online,West-Alice
1048,15-10-2023,Charlie,North,"? 4,510.86",42,Electronics,3139.99,3349.37,Returning,0.13,Credit Card,Retail,North-Charlie
1023,28-06-2023,Eve,East,"? 2,170.94",9,Clothing,4155.46,4273.6,Returning,0.25,Cash,Retail,East-Eve
1062,05-05-2023,Eve,South,? 594.79,26,Clothing,992.17,1263.49,Returning,0.25,Bank Transfer,Retail,South-Eve
1088,19-12-2023,Alice,East,"? 8,452.13",20,Clothing,4590.24,5088.28,New,0.16,Bank Transfer,Retail,East-Alice
1037,23-01-2023,Bob,North,"? 9,813.81",40,Clothing,2790.11,3192.37,Returning,0.26,Bank Transfer,Online,North-Bob
1099,04-03-2023,David,East,"? 7,952.11",10,Furniture,1531.2,1955.56,New,0,Credit Card,Online,East-David
1044,23-05-2023,Bob,West,"? 8,552.47",19,Food,2182.75,2504.03,New,0.01,Bank Transfer,Online,West-Bob
1086,02-06-2023,Bob,East,"? 2,495.57",3,Electronics,1595.35,1625.71,New,0.27,Cash,Online,East-Bob
1091,25-05-2023,Alice,North,"? 9,610.21",24,Clothing,3639.3,3750.63,New,0.23,Bank Transfer,Retail,North-Alice
1035,13-08-2023,Alice,West,"? 2,049.56",5,Clothing,3991.69,4454.97,New,0.14,Credit Card,Retail,West-Alice
1065,05-11-2023,Alice,East,"? 9,519.16",3,Furniture,4173.04,4362.44,New,0.23,Bank Transfer,Retail,East-Alice
1099,14-04-2023,Alice,East,"? 9,948.71",27,Food,4929.55,4990.33,Returning,0.29,Credit Card,Online,East-Alice
1047,14-04-2023,Eve,West,"? 7,146.06",16,Clothing,3966.86,4321.04,Returning,0.23,Credit Card,Retail,West-Eve
1078,08-02-2023,Alice,South,"? 9,813.32",49,Furniture,3026.85,3183.58,Returning,0.25,Cash,Retail,South-Alice
1003,17-07-2023,Eve,West,"? 5,738.44",15,Electronics,1729.14,1870.88,Returning,0.23,Cash,Online,West-Eve
1001,14-05-2023,Eve,South,"? 2,669.46",35,Electronics,2745.75,3244.76,New,0.05,Bank Transfer,Online,South-Eve
1005,08-03-2023,Alice,North,"? 4,426.26",12,Clothing,253.29,683.78,New,0.25,Credit Card,Online,North-Alice
1090,28-06-2023,Charlie,North,"? 5,976.25",41,Clothing,3736.88,3946.77,Returning,0.06,Credit Card,Online,North-Charlie
1014,11-02-2023,David,West,? 823.51,44,Food,2257.48,2747.81,Returning,0.27,Cash,Online,West-David
1027,15-01-2023,Bob,West,"? 6,261.20",26,Food,149.11,477.67,Returning,0.14,Cash,Retail,West-Bob
1009,21-04-2023,Eve,North,"? 9,813.66",47,Clothing,359.41,733,Returning,0.2,Bank Transfer,Retail,North-Eve
1079,06-06-2023,David,South,"? 1,982.07",34,Furniture,1967.96,1993.4,Returning,0.15,Credit Card,Online,South-David
1015,16-10-2023,Charlie,North,"? 7,946.69",23,Food,2937.94,3007.53,Returning,0.03,Cash,Retail,North-Charlie
1090,19-08-2023,Bob,West,"? 9,088.20",31,Clothing,2347.81,2668.02,Returning,0.09,Bank Transfer,Retail,West-Bob
1042,06-06-2023,Bob,North,"? 9,442.65",20,Food,3115.06,3565.58,Returning,0.3,Credit Card,Retail,North-Bob
1077,07-02-2023,Eve,West,"? 9,605.34",12,Clothing,2427.46,2743.09,New,0.29,Credit Card,Retail,West-Eve
1051,07-04-2023,Alice,West,"? 5,262.45",23,Electronics,3325.43,3401.1,New,0.1,Cash,Online,West-Alice
1063,16-10-2023,Charlie,North,"? 9,775.35",4,Clothing,1134.67,1201.39,New,0.3,Bank Transfer,Retail,North-Charlie
1096,11-09-2023,Eve,South,"? 7,597.37",23,Electronics,608.57,1032.22,New,0.25,Cash,Retail,South-Eve
1052,15-07-2023,Charlie,East,"? 1,700.55",48,Food,3002.35,3080.61,Returning,0.18,Bank Transfer,Retail,East-Charlie
1096,27-03-2023,Alice,North,"? 4,821.31",48,Clothing,2449.21,2714.12,New,0.01,Credit Card,Online,North-Alice
1004,18-11-2023,Alice,East,"? 7,211.48",1,Food,182.99,211.18,Returning,0.27,Bank Transfer,Retail,East-Alice
1094,10-01-2023,Eve,North,"? 2,548.67",25,Electronics,1933.39,1982.92,New,0.17,Bank Transfer,Online,North-Eve
1023,05-01-2023,Alice,East,"? 6,442.09",2,Clothing,575.32,914.77,Returning,0.26,Bank Transfer,Online,East-Alice
1015,03-05-2023,David,South,"? 6,699.34",30,Food,2680.22,3027.92,Returning,0.25,Bank Transfer,Online,South-David
1043,26-11-2023,Bob,South,"? 1,710.73",3,Electronics,2009.1,2186.42,New,0.25,Bank Transfer,Online,South-Bob
1029,19-12-2023,Eve,North,"? 5,694.34",21,Food,3085.1,3200.75,New,0.21,Cash,Retail,North-Eve
1036,28-04-2023,Charlie,West,"? 7,739.11",25,Furniture,4037.73,4446.45,Returning,0.09,Bank Transfer,Online,West-Charlie
1013,21-10-2023,David,East,"? 5,039.07",20,Electronics,1533.36,1649.74,Returning,0.1,Bank Transfer,Online,East-David
1032,08-06-2023,Eve,West,? 219.82,49,Electronics,4812.41,5088,Returning,0.09,Credit Card,Online,West-Eve
1071,30-10-2023,Alice,West,? 189.48,22,Electronics,2701.39,3185.81,New,0.01,Bank Transfer,Online,West-Alice
1059,16-08-2023,Alice,West,"? 3,634.59",21,Clothing,3110.54,3192.99,New,0.17,Credit Card,Online,West-Alice
1086,31-12-2023,Alice,South,"? 9,269.32",33,Clothing,3419.33,3890.36,Returning,0.21,Cash,Retail,South-Alice
1028,04-08-2023,Alice,North,"? 2,363.90",38,Clothing,3350.32,3449.94,New,0.26,Cash,Online,North-Alice
1066,03-07-2023,Charlie,North,"? 6,380.20",15,Furniture,2579.31,2867.36,Returning,0.04,Bank Transfer,Retail,North-Charlie
1042,15-01-2023,David,South,"? 2,298.55",46,Furniture,2172.38,2367.11,New,0.16,Cash,Retail,South-David
1045,06-06-2023,Bob,South,"? 3,284.53",15,Electronics,316.22,799.04,New,0,Bank Transfer,Online,South-Bob
1062,16-05-2023,Charlie,North,"? 8,495.62",46,Furniture,159.32,303.36,New,0.03,Cash,Retail,North-Charlie
1057,18-09-2023,Charlie,West,"? 7,315.73",25,Food,1821.91,2027.74,New,0.02,Bank Transfer,Retail,West-Charlie
1006,06-06-2023,Bob,East,"? 1,044.45",21,Electronics,1701.62,2193.22,New,0.22,Bank Transfer,Retail,East-Bob
1028,16-02-2023,Bob,East,"? 4,344.15",24,Electronics,1969.09,2241.96,Returning,0.02,Credit Card,Online,East-Bob
1028,20-11-2023,Alice,East,? 388.78,5,Food,734.92,991.21,Returning,0.21,Credit Card,Online,East-Alice
1044,28-11-2023,Charlie,West,"? 4,860.81",6,Electronics,3703.93,3840.24,New,0.07,Credit Card,Online,West-Charlie
1084,22-06-2023,Eve,North,"? 6,658.10",49,Furniture,4291.97,4645.64,Returning,0.26,Credit Card,Online,North-Eve
1030,10-05-2023,Bob,South,"? 1,273.18",43,Clothing,4696.64,4713.68,Returning,0.24,Bank Transfer,Online,South-Bob
1062,05-04-2023,Bob,North,"? 2,959.96",48,Food,2487.19,2521.45,New,0.29,Cash,Online,North-Bob
1075,25-04-2023,David,West,"? 4,038.58",44,Furniture,3519.29,3822.98,Returning,0.27,Bank Transfer,Online,West-David
1092,31-08-2023,Eve,South,"? 9,203.36",47,Food,4284.98,4462.4,New,0.28,Credit Card,Retail,South-Eve
1089,19-10-2023,Eve,West,"? 9,933.22",23,Food,2120.54,2597.67,Returning,0.26,Credit Card,Retail,West-Eve
1062,09-10-2023,Bob,East,? 544.62,4,Electronics,1581.59,2034.15,Returning,0.21,Cash,Online,East-Bob
1097,26-10-2023,Alice,East,"? 7,633.98",27,Electronics,4686.79,5046.51,Returning,0.05,Credit Card,Retail,East-Alice
1001,10-10-2023,David,West,"? 3,780.07",18,Furniture,2602.6,3013.49,Returning,0.08,Bank Transfer,Online,West-David
1027,10-03-2023,Eve,South,"? 3,985.34",21,Food,2511.41,2848.4,Returning,0.06,Bank Transfer,Online,South-Eve
1062,28-05-2023,Bob,South,"? 7,567.22",28,Electronics,933.16,1004.7,Returning,0.18,Bank Transfer,Online,South-Bob
1077,11-01-2023,Eve,North,"? 9,192.42",35,Electronics,585.37,970.49,Returning,0.15,Bank Transfer,Retail,North-Eve
1003,11-09-2023,David,East,"? 9,514.19",22,Food,4218.43,4331.42,New,0.26,Bank Transfer,Online,East-David
1070,26-11-2023,David,North,"? 5,813.51",40,Furniture,3089.96,3258.45,New,0.29,Cash,Online,North-David
1072,26-12-2023,Charlie,North,"? 3,635.50",23,Furniture,1662.83,2074.25,New,0.12,Bank Transfer,Online,North-Charlie
1027,07-02-2023,Bob,West,"? 7,896.74",3,Food,999.09,1271.99,New,0.15,Credit Card,Online,West-Bob
1009,14-05-2023,David,West,"? 2,584.91",40,Furniture,2799.71,3231.08,Returning,0.29,Credit Card,Retail,West-David
1062,19-07-2023,Charlie,North,"? 5,684.33",10,Electronics,2940.4,3054.79,Returning,0.08,Credit Card,Online,North-Charlie
1037,23-01-2023,Charlie,East,"? 3,649.93",25,Food,1074.62,1382.43,Returning,0.24,Credit Card,Retail,East-Charlie
1097,30-10-2023,Eve,West,"? 6,600.65",49,Electronics,4264.46,4315.52,New,0.07,Cash,Retail,West-Eve
1051,12-12-2023,Eve,North,"? 2,479.95",8,Clothing,467.11,792.21,New,0.2,Credit Card,Online,North-Eve
1044,29-10-2023,Charlie,North,"? 1,996.77",11,Clothing,1812.66,2196.3,New,0.08,Cash,Online,North-Charlie
1024,29-12-2023,Eve,North,"? 9,190.57",5,Furniture,3417.9,3714.52,Returning,0.27,Credit Card,Retail,North-Eve
1079,06-08-2023,David,North,"? 1,107.86",45,Clothing,1406.9,1547.35,New,0.17,Cash,Retail,North-David
1059,21-05-2023,Alice,North,"? 5,108.98",37,Electronics,4146.99,4172.35,Returning,0.06,Cash,Retail,North-Alice
1032,14-04-2023,David,North,"? 2,286.44",45,Clothing,3712.35,3780.88,New,0.07,Cash,Retail,North-David
1096,29-07-2023,Charlie,West,? 485.41,38,Electronics,3955.66,4270.59,Returning,0.15,Credit Card,Online,West-Charlie
1088,21-04-2023,Charlie,East,? 456.59,29,Furniture,639.58,1107.45,New,0.29,Cash,Retail,East-Charlie
1052,14-04-2023,David,North,"? 1,834.70",5,Furniture,745.71,856.91,Returning,0.23,Bank Transfer,Retail,North-David
1062,12-11-2023,Eve,South,"? 8,681.03",9,Electronics,1468.05,1838.21,New,0.15,Bank Transfer,Retail,South-Eve
1058,20-06-2023,Eve,West,"? 2,896.54",48,Clothing,2614.48,3049.04,New,0.1,Credit Card,Retail,West-Eve
1052,22-12-2023,Charlie,West,"? 9,509.55",2,Furniture,3752.68,4017.91,Returning,0.16,Bank Transfer,Online,West-Charlie
1012,20-11-2023,Bob,North,"? 5,858.06",1,Food,4190.83,4528.77,Returning,0.22,Bank Transfer,Online,North-Bob
1039,13-05-2023,Eve,West,"? 4,422.48",40,Furniture,3536.46,3945.82,New,0.24,Bank Transfer,Online,West-Eve
